0,1,2,3
SOPHIA NEST,Joyce George,K-RERA/PRJ/ERN/009/2025,15/01/2025
REIGATE MONTE MIRAGE,Reigate Developers Limited Liability Partnership,K-RERA/PRJ/KKD/258/2024,20/01/2025
Orchid Village,Paul Poulose Eapen,K-RERA/PRJ/ERN/245/2024,20/11/2024
ASIAN GLORY,ASIAN DEVELOPERS,K-RERA/PRJ/ERN/239/2024,22/11/2024
Abad Tanzeel Green,ABAD BUILDERS PVT LTD,K-RERA/PRJ/ERN/225/2024,11/11/2024
UNITY GARDENS,Vijayan K,K-RERA/PRJ/PKD/213/2024,25/01/2025
SANTHOSH CONSTRUCTIONS AND LORRY SERVISES,K K PILLAI,K-RERA/PRJ/TVM/208/2024,16/10/2024
The Roman Empire,Raja RajanS,K-RERA/PRJ/PKD/205/2024,21/12/2024
KURINJI PLOT,BABU AND MM ANTONY JOSEPH,K-RERA/PRJ/ERN/193/2024,17/10/2024
KALARIKKANS K MALL,LICHENBUILDER,K-RERA/PRJ/ERN/182/2024,04/09/2024
MALIEKAL GARDENS,TOBY JOSEPH,K-RERA/PRJ/ERN/180/2024,14/09/2024
ORCHID GARDEN,PIXEL HOMES,K-RERA/PRJ/TVM/172/2024,20/01/2025
Ramani Swamy Enclave,RAMANI REALTORS PRIVATE LIMITED,K-RERA/PRJ/357/2020,13/08/2024
SCARLET AVENUE,SCARLET CIRCLE HOLIDAYS PVT LTD,K-RERA/PRJ/TVM/154/2024,14/08/2024
Mammen,C M MAMMEN,K-RERA/PRJ/TVM/150/2024,23/07/2024
ORCHARD,MARSIC PROJECTS PVT LTD,K-RERA/PRJ/ERN/147/2024,16/07/2024
VENTURA DALIA,Ventura Realtors India Pvt Ltd,K-RERA/PRJ/ERN/144/2024,12/07/2024
GRACELAND FOUNDATION PHASE 2 - ELDERDALE PROJECT,GRACELAND FOUNDATIONS,K-RERA/PRJ/ERN/139/2024,27/07/2024
Bright Villaggio,Febina K V,K-RERA/PRJ/PKD/113/2024,30/06/2024
ASHVAMERU,SHERNA PROPERTIES,K-RERA/PRJ/PKD/112/2024,21/06/2024
SOWPARNIKA CANNARY,Sowparnika Projects & Infrasturcture Pvt Ltd,K-RERA/PRJ/KTM/099/2024,11/06/2024
Udayamperoor Plots,Saramma Joseph,K-RERA/PRJ/ERN/082/2024,21/04/2024
PRISTINE VILLAS,HiLife Builders Pvt Ltd,K-RERA/PRJ/TSR/080/2024,01/02/2025
EDEN GARDENS,CASA VISTA CONSTRUCTIONS PVT LTD,K-RERA/PRJ/TVM/078/2024,17/12/2024
GRACELAND FOUNDATIONS,GRACELAND FOUNDATIONS,K-RERA/PRJ/ERN/072/2024,07/06/2024
SOPHIA AMELIA,Joyce George,K-RERA/PRJ/ERN/065/2024,08/04/2024
Sayoojyam,Sudheer Kalathil Sukumaran,K-RERA/PRJ/PKD/043/2024,06/10/2024
DEODATE MERCEDES,DEODATE ENVIRONMENTAL HOMES PVT LTD,K-RERA/PRJ/TVM/036/2024,09/01/2025
GREENLAND HIILTOP,Greenland Properties and devolopers,K-RERA/PRJ/ERN/026/2024,17/01/2024
VICTORIA REALTORS POORNAM,DHARMIC LIVING PVT LTD,K-RERA/PRJ/TSR/024/2024,29/10/2024
