XID,Unit Type,Unit Size,Area Type,Price,Possession Date
743,4,BHK Flat 1850 sq.ft,Area Not Available,"₹ 2.44 Cr
₹2.12 lakh EMI",Under Construction
743,2,BHK Flat 1150 sq.ft,Area Not Available,"₹ 88 Lac
₹76.4K EMI",Ready to Move
743,4,BHK Flat 1850 sq.ft,Area Not Available,"₹ 2.46 Cr
₹2.14 lakh EMI",Under Construction
5832,2,BHK Flat 750 sq.ft,Area Not Available,"₹ 72 Lac
₹62.5K EMI",Ready to Move
5832,3,BHK Flat 1760 sq.ft,Area Not Available,"₹ 1.79 Cr
₹1.55 lakh EMI",Ready to Move
5832,3,BHK Flat 1400 sq.ft,Area Not Available,"₹ 1.50 Cr
₹1.3 lakh EMI",Ready to Move
5832,,Size Not Available,Area Not Available,,
5832,,Size Not Available,Area Not Available,,
5832,,Size Not Available,Area Not Available,,
5832,,Size Not Available,Area Not Available,,
5832,,Size Not Available,Area Not Available,,
5832,,Size Not Available,Area Not Available,,
5832,,Size Not Available,Area Not Available,,
136575,3 BHK,1527 sq.ft,Super Area,1.52 Cr,Possession by Dec'27
136575,3 BHK,1776 sq.ft,Super Area,1.76 Cr,Possession by Dec'27
136575,2 BHK,1205 sq.ft,Super Area,1.20 Cr,Possession by Dec'27
136575,4 BHK,1884 sq.ft,Super Area,1.87 Cr,Possession by Dec'27
330597,3 BHK,1120 sq.ft,Super Area,62.3 Lac,Possession by Jul'23
330597,2 BHK,1020 sq.ft,Super Area,56.7 Lac,Possession by Jul'23
330597,2 BHK,1022 sq.ft,Super Area,1.04 Cr,Possession by Jul'23
392732,3 BHK,1550 sq.ft,Super Area,1.95 Cr,Possession by Dec'24
392732,3 BHK,1620 sq.ft,Super Area,1.95 Cr,Possession by Dec'24
392732,2 BHK,1440 sq.ft,Super Area,1.98 Cr,Possession by Dec'24
402610,3 BHK,1423 sq.ft,Super Area,1.70 Cr,Possession by Nov'27
402610,3 BHK,1525 sq.ft,Super Area,1.83 Cr,Possession by Nov'27
402610,3 BHK,1547 sq.ft,Super Area,1.85 Cr,Possession by Nov'27
402610,3 BHK,1557 sq.ft,Super Area,1.86 Cr,Possession by Nov'27
402610,2 BHK,1136 sq.ft,Super Area,1.36 Cr,Possession by Nov'27
402610,2 BHK,1150 sq.ft,Super Area,1.38 Cr,Possession by Nov'27
402610,2 BHK,1192 sq.ft,Super Area,1.43 Cr,Possession by Nov'27
424568,2,BHK Flat 1460 sq.ft,Area Not Available,Call for Price,Under Construction
424568,Studio,Apartment 947 sq.ft,Area Not Available,Call for Price,Under Construction
