XID,Project Name,Unit Type,Area,Price
R402149,Suncity The Empire,400 Sq. Ft. Retail Shop,400 Sq. Ft.,Price on Request
R402149,Suncity The Empire,830 Sq. Ft. Retail Shop,830 Sq. Ft.,Price on Request
R402149,Suncity The Empire,700 Sq. Ft. Office Space,700 Sq. Ft.,Rs 2.45 Cr
R330323,Samriddhi Sampat Greens,1040 Sq. Ft. Plot,1040 Sq. Ft.,Price on Request
R330323,Samriddhi Sampat Greens,1045 Sq. Ft. Plot,1045 Sq. Ft.,Price on Request
R78869,Nahar Lilium Lantana,2 BHK 1280 Sq. Ft. Apartment,1280 Sq. Ft.,Rs 2.65 Cr
R78869,Nahar Lilium Lantana,3 BHK 1540 Sq. Ft. Apartment,1540 Sq. Ft.,Rs 3.19 Cr
R64228,Gundecha Orchid Tower,2 BHK 915 Sq. Ft. Apartment,915 Sq. Ft.,Rs 2.25 Cr
R39422,Hiranandani Lightbridge,2 BHK 1100 Sq. Ft. Apartment,1100 Sq. Ft.,Price on Request
R39422,Hiranandani Lightbridge,3 BHK 1365 Sq. Ft. Apartment,1365 Sq. Ft.,Price on Request
R28932,Mahagun Maple,3 BHK 1550 Sq. Ft. Apartment,1550 Sq. Ft.,Rs 1.18 Cr
R28932,Mahagun Maple,3 BHK 1575 Sq. Ft. Apartment,1575 Sq. Ft.,Rs 1.10 Cr
R28932,Mahagun Maple,4 BHK 2175 Sq. Ft. Apartment,2175 Sq. Ft.,Rs 1.63 Cr
R438192,Bhavya Evora,4 BHK 3739 Sq. Ft. Villa,3739 Sq. Ft.,Rs 4.30 Cr
R438192,Bhavya Evora,5 BHK 4525 Sq. Ft. Villa,4525 Sq. Ft.,Rs 5.20 Cr
R436913,Samruddhi Uplands,2 BHK 1082 Sq. Ft. Apartment,1082 Sq. Ft.,Rs 45.77 Lac
R436913,Samruddhi Uplands,2 BHK 1104 Sq. Ft. Apartment,1104 Sq. Ft.,Rs 46.71 Lac
R436913,Samruddhi Uplands,3 BHK 1460 Sq. Ft. Apartment,1460 Sq. Ft.,Rs 61.77 Lac
R436913,Samruddhi Uplands,3 BHK 1453 Sq. Ft. Apartment,1453 Sq. Ft.,Rs 61.47 Lac
R433762,My Home Vihanga,2 BHK 1115 Sq. Ft. Apartment,1115 Sq. Ft.,Rs 1.12 Cr
R433762,My Home Vihanga,2 BHK 1275 Sq. Ft. Apartment,1275 Sq. Ft.,Rs 1.28 Cr
R433762,My Home Vihanga,3 BHK 2160 Sq. Ft. Apartment,2160 Sq. Ft.,Rs 2.18 Cr
R433762,My Home Vihanga,4 BHK 1690 Sq. Ft. Apartment,1690 Sq. Ft.,Rs 1.70 Cr
R429636,KMR Sri Nandana Avenue,1 BHK 540 Sq. Ft. Apartment,540 Sq. Ft.,Price on Request
R429636,KMR Sri Nandana Avenue,2 BHK 946 Sq. Ft. Apartment,946 Sq. Ft.,Price on Request
R429636,KMR Sri Nandana Avenue,2 BHK 1034 Sq. Ft. Apartment,1034 Sq. Ft.,Price on Request
R429636,KMR Sri Nandana Avenue,3 BHK 1136 Sq. Ft. Apartment,1136 Sq. Ft.,Price on Request
R429636,KMR Sri Nandana Avenue,3 BHK 1403 Sq. Ft. Apartment,1403 Sq. Ft.,Price on Request
R429438,Hiranandavi Rodas Enclave Rosehill,3 BHK 1835 Sq. Ft. Apartment,1835 Sq. Ft.,Price on Request
R428295,Sameera Kanchi Big Town,600 Sq. Ft. Plot,600 Sq. Ft.,Price on Request
R428295,Sameera Kanchi Big Town,2152 Sq. Ft. Plot,2152 Sq. Ft.,Price on Request
R422585,Regency Sapphire,1 BHK 319 Sq. Ft. Apartment,319 Sq. Ft.,Rs 39.06 Lac
R422585,Regency Sapphire,156 Sq. Ft. Retail Shop,156 Sq. Ft.,Price on Request
R422585,Regency Sapphire,199 Sq. Ft. Retail Shop,199 Sq. Ft.,Price on Request
R420440,Rainbow Green Meadows,1337 Sq. Ft. Plot,1337 Sq. Ft.,Rs 61.77 Lac
R420440,Rainbow Green Meadows,2507 Sq. Ft. Plot,2507 Sq. Ft.,Rs 1.15 Cr
R413623,Swargaseema Suketana,1800 Sq. Ft. Plot,1800 Sq. Ft.,Rs 14.40 Lac
R413623,Swargaseema Suketana,4800 Sq. Ft. Plot,4800 Sq. Ft.,Rs 38.40 Lac
R403017,Pacifica Enchante,500 Sq. Ft. Plot,500 Sq. Ft.,Rs 30.00 Lac
R403017,Pacifica Enchante,2400 Sq. Ft. Plot,2400 Sq. Ft.,Rs 1.44 Cr
R379971,Prestige Great Acres,1163 Sq. Ft. Plot,1163 Sq. Ft.,Rs 65.15 Lac
R379971,Prestige Great Acres,3875 Sq. Ft. Plot,3875 Sq. Ft.,Rs 2.17 Cr
R180623,Altus Muirwood Ecocity,238 Sq. Ft. Plot,238 Sq. Ft.,Price on Request
R180623,Altus Muirwood Ecocity,4275 Sq. Ft. Plot,4275 Sq. Ft.,Price on Request
