Reg.,State
PR/GJ/AHMEDABAD/AHMEDABADCITY/AUDA/RAA12039/280623,Gujarat
PR/GJ/AHMEDABAD/AHMEDABADCITY/AUDA/RAA12287/010923,Gujarat
PR/GJ/VADODARA/VADODARA/Others/MAA12247/010923,Gujarat
PR/GJ/VADODARA/VADODARA/VadodaraMunicipalCorporation/RN246AA10146/A1M/070723,Gujarat
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA12389/061023,Gujarat
PR/GJ/AHMEDABAD/AHMEDABADCITY/AUDA/MAA12881/070224/311226,Gujarat
PR/GJ/AHMEDABAD/DASKROI/AhmedabadMunicipalCorporation/RAA12898/070224/300628,Gujarat
PR/GJ/AHMEDABAD/AHMEDABAD CITY/Ahmedabad Municipal Corporation/RAA12921/A1R/050724/311229,Gujarat
PR/GJ/VADODARA/VADODARA/Others/MAA12042/280623,Gujarat
PR/GJ/VADODARA/VADODARA/Vadodara Municipal Corporation/MN92AA09992/240622,Gujarat
PR/GJ/SURAT/SURAT CITY/Surat Municipal Corporation/RAA13232/010424/311229,Gujarat
PR/GJ/AHMEDABAD/DASKROI/AhmedabadMunicipalCorporation/RAA13345/180424/311227,Gujarat
PR/GJ/GANDHINAGAR/GANDHINAGAR/Gandhinagar Municipal Corporation/RAA13500/140524/311227,Gujarat
PR/GJ/VADODARA/VADODARA/VadodaraMunicipalCorporation/RAA13649/100624/010528,Gujarat
PR/GJ/VADODARA/VADODARA/VadodaraUrbanDevelopmentAuthority/RAA13743/270624/311228,Gujarat
PR/GJ/AHMEDABAD/DASKROI/AhmedabadMunicipalCorporation/RAA14143/180924/310329,Gujarat
PR/GJ/GANDHINAGAR/GANDHINAGAR/Gandhinagar Municipal Corporation/MAA14570/231224/311228,Gujarat
PR/GJ/AHMEDABAD/DASKROI/AhmedabadMunicipalCorporation/RAA14124/110924/311229,Gujarat
PR/GJ/AHMEDABAD/AHMEDABAD CITY/Ahmedabad Municipal Corporation/RAA14540/191224/251129,Gujarat
PR/GJ/AHMEDABAD/DASKROI/Ahmedabad Municipal Corporation/MAA14626/311224/311230,Gujarat
PR/GJ/VADODARA/VADODARA/Others/RAA12533/251023,Gujarat
PR/GJ/VADODARA/VADODARA/Vadodara Municipal Corporation/RAA14586/261224/291228,Gujarat
